CU URL,Title,Comment,ActiveWFP,Local URL,Region,Country,SubRegion,Season,Type,Draft or released,Inactive,Specific date?,Public,Behind VPN,User,Password,Group
https://iridl.ldeo.columbia.edu/fbfmaproom2/mali,,,TRUE,,West Africa,Mali,,JAS,Design Dashboard,Released,Active,April 4th 2025,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/mauritania,,,TRUE,,West Africa,Mauritania,,JAS,Design Dashboard,Released,Active,April 4th 2025,Unlocked,,,,
http://iridl.ldeo.columbia.edu/fbfmaproom2/burkinafaso,,,TRUE,,West Africa,Burkina Faso,,JAS,Design Dashboard,Released,Active,April 4th 2025,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/chad,,,TRUE,,West Africa,Chad,,JAS,Design Dashboard,Released,Active,April 4th 2025,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/ethiopia_aa_dashboard_somali_mam/,,,TRUE,,East Africa,Ethiopia,Somali,MAM,Public Monitoring Dashboard,Released,Active,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/ethiopia_aa_dashboard_somali_ond/,,,TRUE,,East Africa,Ethiopia,Somali,OND,Public Monitoring Dashboard,Released,Active,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/ethiopia_aa_dashboard_oromia_mam/,,,TRUE,,East Africa,Ethiopia,Oromia,MAM,Public Monitoring Dashboard,Released,Active,,Unlocked,,,,
https://fist.iri.columbia.edu/publications/docs/ethiopia_aa_dashboard_oromia_ond/,,,TRUE,,East Africa,Ethiopia,Oromia,OND,Public Monitoring Dashboard,Released,Active,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/ethiopia,,,TRUE,,East Africa,Ethiopia,Somali,MAM,Design Dashboard,Released,Active,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/ethiopia-ond,,,TRUE,,East Africa,Ethiopia,Somali,OND,Design Dashboard,Released,Active,,Unlocked,,,,
https://iridl.ldeo.columbia.edu/fbfmaproom2/southern-oromia,,,TRUE,,East Africa,Ethiopia,Oromia,MAM,Design Dashboard,Released,Active,,Unlocked,,,,
